DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,LOCATION,LAT,LON
221406950,28/02/2022,22:00,14,Pacific,1468,626,INTIMATE PARTNER - SIMPLE ASSAULT,0906 1816 1822 1805 1814 2000 0416,39,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,11800    ALLIN                        ST,33.9923,-118.4105
221906528,28/02/2022,20:30,19,Mission,1961,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,73,M,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,15400    PLUMMER                      ST,34.2428,-118.4676
220706347,28/02/2022,12:40,7,Wilshire,734,664,"BUNCO, PETTY THEFT",701,55,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,400 S  BURNSIDE                     AV,34.0672,-118.3518
220506236,28/02/2022,11:45,5,Harbor,531,510,VEHICLE - STOLEN,0,0,X,X,DRIVEWAY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1400    260TH                        ST,33.7868,-118.3019
222006600,28/02/2022,9:10,20,Olympic,2021,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0448 0603 1822,0,X,X,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3900    WILSHIRE                     BL,34.0617,-118.3194
220706217,28/02/2022,14:30,7,Wilshire,765,624,BATTERY - SIMPLE ASSAULT,0400 1822,48,F,B,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4700 W  PICO                         BL,34.0486,-118.3383
221706113,28/02/2022,15:00,17,Devonshire,1795,440,THEFT PLAIN - PETTY ($950 & UNDER),2034 1202 0344,60,F,W,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,17600    ROSCOE                       BL,34.221,-118.517
221706063,28/02/2022,16:30,17,Devonshire,1794,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 1822,55,F,H,OTHER BUSINESS,215,MACHETE,AO,Adult Other,18600    PARTHENIA                    ST,34.2282,-118.5383
221406850,28/02/2022,15:30,14,Pacific,1438,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,60,M,C,OTHER/OUTSIDE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3600    GLENDON                      AV,34.0215,-118.4119
220706285,28/02/2022,16:30,7,Wilshire,734,480,BIKE - STOLEN,0397 1822 0344,27,M,W,PATIO*,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6200 W  3RD                          ST,34.0708,-118.3563
220206458,28/02/2022,14:10,2,Rampart,219,310,BURGLARY,1202 1822 1402 0344 0352 0329 1602,80,M,A,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1300    KELLAM                       AV,34.0698,-118.2528
222006557,28/02/2022,20:30,20,Olympic,2019,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,200 N  JUANITA                      AV,34.0755,-118.2904
222106239,28/02/2022,8:55,21,Topanga,2103,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),325,42,M,X,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,8300    TOPANGA CANYON               BL,34.2259,-118.6126
221006155,28/02/2022,4:40,10,West Valley,1007,310,BURGLARY,1822 0344 0209 0206 1602 0329 0358 1309 0216,0,M,O,MARKET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,7600    BALBOA                       BL,34.2146,-118.5056
221806761,28/02/2022,21:00,18,Southeast,1844,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,57,M,B,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,10800    AVALON                       BL,33.9383,-118.2652
221207135,28/02/2022,23:00,12,77th Street,1265,210,ROBBERY,0363 0344 0400,44,M,B,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1500 W  81ST                         ST,33.9655,-118.3025
221006166,28/02/2022,0:30,10,West Valley,1045,310,BURGLARY,0344 1822 9999,38,M,O,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,18000    COLLINS                      ST,34.1738,-118.5241
221106197,28/02/2022,20:35,11,Northeast,1132,330,BURGLARY FROM VEHICLE,0344 0358 1609,36,M,B,CONDOMINIUM/TOWNHOUSE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4100    LOS FELIZ                    BL,34.1131,-118.2809
221806899,28/02/2022,8:27,18,Southeast,1839,354,THEFT OF IDENTITY,0,41,F,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2200 E  105TH                        ST,33.9406,-118.2328
220706271,28/02/2022,23:00,7,Wilshire,734,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 1415 1402 1262,24,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,400    HAUSER                       BL,34.0674,-118.3499
220806438,28/02/2022,21:15,8,West LA,884,888,TRESPASSING,1501,0,M,O,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,11300 W  PICO                         BL,34.0352,-118.4387
220306741,28/02/2022,5:30,3,Southwest,321,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3400    CARMONA                      AV,34.0247,-118.3669
220206504,28/02/2022,20:00,2,Rampart,237,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1500    BEVERLY                      BL,34.0627,-118.2613
220107550,28/02/2022,11:07,1,Central,185,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 1822 1414 0344,24,M,H,BEAUTY SUPPLY STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,200 E  11TH                         ST,34.0384,-118.2571
220606742,28/02/2022,10:20,6,Hollywood,678,860,BATTERY WITH SEXUAL CONTACT,0400 0448 1822 0500,22,F,H,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1000 N  WESTERN                      AV,34.0885,-118.3092
221407021,28/02/2022,12:00,14,Pacific,1409,310,BURGLARY,1606 0344,29,F,W,STORAGE SHED,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3700    HUGHES                       AV,34.0256,-118.4006
220206468,28/02/2022,11:45,2,Rampart,205,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1813 1243 0429 0408,25,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,900    ROBINSON                     ST,34.0832,-118.2773
